"","scenario","method","autocorr","n","bias","mse","coverage","mcse_bias","mcse_mse","mcse_cover"
"81","12","Newey West","0.18|0.10|0.01",300,0.004,0.087,0.908,0.007,0.003,0.006
"82","12","MA(1)","0.18|0.10|0.01",300,0.004,0.087,0.915,0.007,0.003,0.006
"83","12","MA(2)","0.18|0.10|0.01",300,0.004,0.086,0.934,0.007,0.003,0.006
"84","12","MA(3)","0.18|0.10|0.01",300,0.004,0.086,0.937,0.007,0.003,0.005
"85","13","Linear Reg","0.18|0.04|0.01",20,-0.015,0.941,0.928,0.022,0.029,0.006
"86","13","Prais Winsten","0.18|0.04|0.01",20,-0.015,1.002,0.901,0.022,0.032,0.007
"87","13","ARMA","0.18|0.04|0.01",20,-0.021,0.971,0.872,0.022,0.031,0.007
"88","13","Newey West","0.18|0.04|0.01",20,-0.015,0.941,0.747,0.022,0.029,0.01
"89","13","MA(1)","0.18|0.04|0.01",20,-0.014,1.093,0.769,0.023,0.035,0.009
"90","13","MA(2)","0.18|0.04|0.01",20,-0.02,1.245,0.71,0.025,0.043,0.01
"91","13","MA(3)","0.18|0.04|0.01",20,-0.019,1.253,0.704,0.025,0.043,0.01
"92","14","Linear Reg","0.18|0.04|0.01",50,-0.021,0.431,0.913,0.015,0.013,0.006
"93","14","Prais Winsten","0.18|0.04|0.01",50,-0.02,0.436,0.927,0.015,0.014,0.006
"94","14","ARMA","0.18|0.04|0.01",50,-0.018,0.44,0.9,0.015,0.014,0.007
"95","14","Newey West","0.18|0.04|0.01",50,-0.021,0.431,0.824,0.015,0.013,0.009
"96","14","MA(1)","0.18|0.04|0.01",50,-0.02,0.435,0.908,0.015,0.014,0.006
"97","14","MA(2)","0.18|0.04|0.01",50,-0.016,0.45,0.857,0.015,0.014,0.008
"98","14","MA(3)","0.18|0.04|0.01",50,-0.016,0.482,0.795,0.016,0.015,0.009
"99","15","Linear Reg","0.18|0.04|0.01",100,0.008,0.233,0.904,0.011,0.007,0.007
"100","15","Prais Winsten","0.18|0.04|0.01",100,0.007,0.231,0.936,0.011,0.007,0.005
"101","15","ARMA","0.18|0.04|0.01",100,0.007,0.234,0.908,0.011,0.007,0.006
"102","15","Newey West","0.18|0.04|0.01",100,0.008,0.233,0.865,0.011,0.007,0.008
"103","15","MA(1)","0.18|0.04|0.01",100,0.007,0.23,0.923,0.011,0.007,0.006
"104","15","MA(2)","0.18|0.04|0.01",100,0.007,0.233,0.92,0.011,0.007,0.006
"105","15","MA(3)","0.18|0.04|0.01",100,0.008,0.239,0.891,0.011,0.008,0.007
"106","16","Linear Reg","0.18|0.04|0.01",300,-0.002,0.08,0.897,0.006,0.003,0.007
"107","16","Prais Winsten","0.18|0.04|0.01",300,-0.003,0.079,0.945,0.006,0.002,0.005
"108","16","ARMA","0.18|0.04|0.01",300,-0.003,0.079,0.936,0.006,0.002,0.005
"109","16","Newey West","0.18|0.04|0.01",300,-0.002,0.08,0.914,0.006,0.003,0.006
"110","16","MA(1)","0.18|0.04|0.01",300,-0.003,0.079,0.935,0.006,0.002,0.005
"111","16","MA(2)","0.18|0.04|0.01",300,-0.002,0.079,0.939,0.006,0.002,0.005
"112","16","MA(3)","0.18|0.04|0.01",300,-0.002,0.079,0.934,0.006,0.002,0.006
"113","17","Linear Reg","0.24|0.16|0.09",20,0.004,1.132,0.902,0.024,0.036,0.007
"114","17","Prais Winsten","0.24|0.16|0.09",20,-0.001,1.178,0.864,0.024,0.038,0.008
"115","17","ARMA","0.24|0.16|0.09",20,-0.004,1.156,0.834,0.024,0.037,0.008
"116","17","Newey West","0.24|0.16|0.09",20,0.004,1.132,0.755,0.024,0.036,0.01
"117","17","MA(1)","0.24|0.16|0.09",20,0.008,1.307,0.759,0.026,0.043,0.01
"118","17","MA(2)","0.24|0.16|0.09",20,-0.006,1.465,0.699,0.027,0.049,0.01
"119","17","MA(3)","0.24|0.16|0.09",20,0.003,1.544,0.667,0.028,0.051,0.011
"120","18","Linear Reg","0.24|0.16|0.09",50,-0.02,0.579,0.86,0.017,0.018,0.008
"121","18","Prais Winsten","0.24|0.16|0.09",50,-0.021,0.565,0.9,0.017,0.018,0.007
"122","18","ARMA","0.24|0.16|0.09",50,-0.02,0.575,0.858,0.017,0.018,0.008
"123","18","Newey West","0.24|0.16|0.09",50,-0.02,0.579,0.825,0.017,0.018,0.008
"124","18","MA(1)","0.24|0.16|0.09",50,-0.021,0.567,0.866,0.017,0.018,0.008
"125","18","MA(2)","0.24|0.16|0.09",50,-0.02,0.575,0.857,0.017,0.018,0.008
"126","18","MA(3)","0.24|0.16|0.09",50,-0.023,0.625,0.826,0.018,0.02,0.008
"127","19","Linear Reg","0.24|0.16|0.09",100,0.012,0.314,0.851,0.013,0.01,0.008
"128","19","Prais Winsten","0.24|0.16|0.09",100,0.013,0.305,0.919,0.012,0.01,0.006
"129","19","ARMA","0.24|0.16|0.09",100,0.011,0.308,0.903,0.012,0.01,0.007
"130","19","Newey West","0.24|0.16|0.09",100,0.012,0.314,0.868,0.013,0.01,0.008
"131","19","MA(1)","0.24|0.16|0.09",100,0.012,0.307,0.894,0.012,0.01,0.007
"132","19","MA(2)","0.24|0.16|0.09",100,0.011,0.304,0.916,0.012,0.01,0.006
"133","19","MA(3)","0.24|0.16|0.09",100,0.011,0.305,0.918,0.012,0.01,0.006
"134","20","Linear Reg","0.24|0.16|0.09",300,0.006,0.11,0.842,0.007,0.003,0.008
"135","20","Prais Winsten","0.24|0.16|0.09",300,0.006,0.108,0.92,0.007,0.003,0.006
"136","20","ARMA","0.24|0.16|0.09",300,0.007,0.107,0.929,0.007,0.003,0.006
"137","20","Newey West","0.24|0.16|0.09",300,0.006,0.11,0.91,0.007,0.003,0.006
"138","20","MA(1)","0.24|0.16|0.09",300,0.006,0.108,0.899,0.007,0.003,0.007
"139","20","MA(2)","0.24|0.16|0.09",300,0.006,0.108,0.922,0.007,0.003,0.006
"140","20","MA(3)","0.24|0.16|0.09",300,0.007,0.107,0.939,0.007,0.003,0.005
"141","21","Linear Reg","0.30|0.24|0.06",20,0.009,1.391,0.864,0.026,0.045,0.008
"142","21","Prais Winsten","0.30|0.24|0.06",20,0.013,1.363,0.845,0.026,0.044,0.008
"143","21","ARMA","0.30|0.24|0.06",20,0.013,1.398,0.8,0.026,0.045,0.009
"144","21","Newey West","0.30|0.24|0.06",20,0.009,1.391,0.737,0.026,0.045,0.01
"145","21","MA(1)","0.30|0.24|0.06",20,0.01,1.486,0.75,0.027,0.048,0.01
"146","21","MA(2)","0.30|0.24|0.06",20,0.008,1.657,0.691,0.029,0.054,0.01
"147","21","MA(3)","0.30|0.24|0.06",20,-0.004,1.765,0.662,0.03,0.057,0.011
"148","22","Linear Reg","0.30|0.24|0.06",50,-0.024,0.696,0.836,0.019,0.022,0.008
"149","22","Prais Winsten","0.30|0.24|0.06",50,-0.024,0.661,0.889,0.018,0.021,0.007
"150","22","ARMA","0.30|0.24|0.06",50,-0.027,0.683,0.857,0.018,0.023,0.008
"151","22","Newey West","0.30|0.24|0.06",50,-0.024,0.696,0.815,0.019,0.022,0.009
"152","22","MA(1)","0.30|0.24|0.06",50,-0.025,0.672,0.852,0.018,0.022,0.008
"153","22","MA(2)","0.30|0.24|0.06",50,-0.029,0.657,0.885,0.018,0.022,0.007
"154","22","MA(3)","0.30|0.24|0.06",50,-0.033,0.74,0.817,0.019,0.026,0.009
"155","23","Linear Reg","0.30|0.24|0.06",100,-0.004,0.367,0.82,0.014,0.012,0.009
"156","23","Prais Winsten","0.30|0.24|0.06",100,-0.005,0.355,0.901,0.013,0.012,0.007
"157","23","ARMA","0.30|0.24|0.06",100,-0.004,0.362,0.892,0.013,0.012,0.007
"158","23","Newey West","0.30|0.24|0.06",100,-0.004,0.367,0.853,0.014,0.012,0.008
"159","23","MA(1)","0.30|0.24|0.06",100,-0.005,0.359,0.864,0.013,0.012,0.008
"160","23","MA(2)","0.30|0.24|0.06",100,-0.005,0.352,0.905,0.013,0.011,0.007
"161","23","MA(3)","0.30|0.24|0.06",100,-0.003,0.357,0.91,0.013,0.011,0.006
"162","24","Linear Reg","0.30|0.24|0.06",300,-0.004,0.127,0.823,0.008,0.004,0.009
"163","24","Prais Winsten","0.30|0.24|0.06",300,-0.005,0.125,0.918,0.008,0.004,0.006
"164","24","ARMA","0.30|0.24|0.06",300,-0.006,0.125,0.923,0.008,0.004,0.006
"165","24","Newey West","0.30|0.24|0.06",300,-0.004,0.127,0.903,0.008,0.004,0.007
"166","24","MA(1)","0.30|0.24|0.06",300,-0.004,0.126,0.881,0.008,0.004,0.007
"167","24","MA(2)","0.30|0.24|0.06",300,-0.005,0.124,0.923,0.008,0.004,0.006
"168","24","MA(3)","0.30|0.24|0.06",300,-0.005,0.124,0.941,0.008,0.004,0.005
"169","25","Linear Reg","0.31|0.21|0.09",20,-0.028,1.299,0.886,0.025,0.043,0.007
"170","25","Prais Winsten","0.31|0.21|0.09",20,-0.022,1.296,0.866,0.025,0.043,0.008
"171","25","ARMA","0.31|0.21|0.09",20,-0.03,1.315,0.815,0.026,0.043,0.009
"172","25","Newey West","0.31|0.21|0.09",20,-0.028,1.299,0.752,0.025,0.043,0.01
"173","25","MA(1)","0.31|0.21|0.09",20,-0.027,1.432,0.751,0.027,0.048,0.01
